verbe,frequence
avoir,264
faire,218
mettre,165
prendre,117
tomber,67
jeter,64
casser,61
passer,54
jouer,44
tirer,42
donner,37
aller,36
perdre,36
tenir,34
tourner,32
battre,28
baisser,26
foutre,26
pomper,25
envoyer,25
voir,23
lever,20
entrer,19
laisser,19
parler,18
ouvrir,17
couper,17
porter,17
pousser,16
taper,16
boire,15
cirer,15
rester,15
ficher,15
sortir,15
suivre,14
sentir,14
chauffer,12
dormir,12
pleuvoir,12
vivre,11
retourner,11
manquer,11
monter,10
manger,10
renvoyer,10
fermer,10
écrire,10
marcher,10
brûler,9
lâcher,9
dire,9
remonter,9
descendre,9
porte,9
sauter,9
réduire,9
compter,8
ajouter,8
mordre,8
naître,8
déchirer,8
peler,8
connaître,8
crier,8
fendre,8
remuer,8
mener,8
serrer,8
pédaler,8
tâter,8
remettre,8
revenir,8
sauver,8
apprendre,7
sonner,7
arriver,7
enlever,7
branler,7
couler,7
tailler,7
rouler,7
fourrer,6
plier,6
lécher,6
filer,6
crever,6
tuer,6
percer,6
enfoncer,6
mâcher,6
payer,6
rendre,6
clore,5
apporter,5
avaler,5
emporter,5
pisser,5
travailler,5
courber,5
soûl,5
cracher,5
vider,5
décrocher,5
balader,5
promener,5
valser,5
lancer,5
franchir,5
marquer,5
montrer,5
secouer,5
quitter,4
rompre,4
abonder,4
dresser,4
tombe,4
continuer,4
poursuivre,4
mesurer,4
appeler,4
saisir,4
pendre,4
accrocher,4
enfler,4
gonfler,4
bouffer,4
cuire,4
changer,4
coiffer,4
prêcher,4
vendre,4
prêter,4
’,4
gagner,4
garder,4
inventer,4
mourir,4
louper,4
rater,4
manque,4
mélanger,4
valoir,4
péter,4
verse,4
pisse,4
recharger,4
regarder,4
retomber,4
joue,4
afficher,3
annoncer,3
appuyer,3
attraper,3
veiller,3
fouetter,3
venir,3
broyer,3
salut,3
pleurer,3
coudre,3
cacher,3
croiser,3
jusqu’,3
poser,3
disparaître,3
fâcher,3
foncer,3
lier,3
trancher,3
occuper,3
piquer,3
repartir,3
toucher,3
traîner,3
abandonner,2
accepter,2
trompe,2
rabattre,2
amener,2
réveiller,2
arrondir,2
fixe,2
vauvert,2
baiser,2
brouiller,2
causer,2
céder,2
conter,2
savonner,2
courir,2
creuser,2
déblayer,2
demander,2
écorcher,2
endormir,2
reposer,2
pourrir,2
rase,2
entendre,2
enterrer,2
lotir,2
loger,2
enseigne,2
ranger,2
peigner,2
acquérir,2
soumettre,2
grossir,2
hurler,2
vouer,2
bouger,2
savoir,2
cuiller,2
pocher,2
partir,2
transmettre,2
peser,2
promettre,2
ramener,2
relever,2
reprendre,2
rentrer,2
renverser,2
river,2
déployer,2
rire,2
débander,2
désemparer,2
trouver,2
cloche,2
accuser,1
acheter,1
adopter,1
classer,1
agiter,1
pousse,1
rhabiller,1
nommer,1
revendre,1
découvrir,1
baigner,1
balancer,1
balayer,1
bander,1
bâtir,1
botter,1
boucler,1
bourrer,1
égarer,1
briller,1
calmer,1
n‘est,1
cerise,1
chier,1
claquer,1
coincer,1
montre,1
coûter,1
créer,1
cuver,1
arracher,1
défrayer,1
lasser,1
démêler,1
démontrer,1
déposer,1
monde,1
chauffe,1
déterrer,1
dévorer,1
discuter,1
dorer,1
éclairer,1
emboîter,1
enfiler,1
allonger,1
engueuler,1
peinard,1
vouloir,1
voilà,1
épater,1
étouffer,1
pétard,1
reste,1
bouillir,1
pencher,1
trouer,1
faucher,1
file,1
non-recevoir,1
forcer,1
fouler,1
frapper,1
défendre,1
fumer,1
geler,1
déborder,1
graisser,1
grimper,1
habiller,1
hausser,1
h,1
illustre,1
tortiller,1
anguille,1
inscrire,1
finir,1
jacasser,1
bascule,1
joindre,1
jurer,1
tourne,1
laver,1
échapper,1
chanter,1
lire,1
enrager,1
ménager,1
martel,1
mi-figue,1
attacher,1
danser,1
coucher,1
nourrir,1
noyer,1
offrir,1
opiner,1
parer,1
partager,1
peindre,1
pêcher,1
prouver,1
raccrocher,1
ratisser,1
ravitailler,1
rebattre,1
recevoir,1
reculer,1
redorer,1
refaire,1
refiler,1
régler,1
renaître,1
retrousser,1
rincer,1
risquer,1
ronger,1
salir,1
bleu,1
délier,1
déconner,1
sourciller,1
semer,1
séparer,1
servir,1
signe,1
souffler,1
sourire,1
sucer,1
suer,1
abattre,1
taquiner,1
laisse,1
tenter,1
glisser,1
tordre,1
traiter,1
trier,1
pouvoir,1
virer,1
voler,1
